id,name,channel,start_date,end_date,budget,status
1,Spring Sale 2023,email,2023-03-01,2023-03-31,5000,completed
2,Summer Collection Launch,social,2023-06-15,2023-07-15,8000,completed
3,Back to School,paid_search,2023-08-01,2023-09-15,12000,completed
4,Holiday Gift Guide,email,2023-11-15,2023-12-31,15000,completed
5,New Year Kickoff,social,2024-01-01,2024-01-31,6000,completed
6,Valentine's Day,email,2024-02-01,2024-02-14,3000,completed
7,Spring Refresh,paid_search,2024-03-15,2024-04-30,10000,completed
8,Mother's Day Special,social,2024-04-15,2024-05-12,4000,completed
9,Summer Sale 2024,email,2024-06-01,2024-06-30,7000,active
10,Loyalty Program Launch,email,2024-03-01,2024-12-31,20000,active
11,Influencer Partnership,social,2024-04-01,2024-09-30,15000,active
12,Google Shopping,paid_search,2024-01-01,2024-12-31,25000,active
